CROP_IMAGE,image_type,task_type,difficulty,question,correct_answer,rationale
nature10904_figure-1_crop3.png,HR-TEM,visual_perception,easy,What is the approximate shape of the nanoparticle shown in this HRTEM image?,Spherical,"The particle outline is rounded and roughly circular in projection, consistent with a spherical morphology. Rod-like, cubic, or plate-like shapes would show elongated, faceted, or flat edges, which are not visible."
nature10904_figure-1_crop3.png,HR-TEM,visual_perception,medium,"Based on the visible lattice fringes in this 6 nm nanoparticle HRTEM image, what can be inferred about its crystallinity?",Single crystalline,"The lattice fringes are continuous and regularly spaced across the particle, indicating a single crystalline structure rather than amorphous or polycrystalline with grain boundaries."
nature10904_figure-1_crop3.png,HR-TEM,visual_perception,hard,"Considering the lattice fringe spacing visible in this 6 nm nanoparticle HRTEM image, which of the following is the most likely lattice plane spacing range observed?",0.2 - 0.3 nm,"The lattice fringes appear closely spaced, consistent with typical interplanar spacings in metals or semiconductors around 0.2-0.3 nm. Larger spacings (0.5 nm or more) would show visibly wider fringe spacing, which is not observed."
nature10904_figure-1_crop3.png,HR-TEM,reasoning,easy,"Given that this is a 6 nm metal nanoparticle, what does the uniform lattice fringe pattern suggest about its internal structure?",It is a single crystal without major defects,Uniform lattice fringes indicate a defect-free or low-defect single crystal. Stacking faults or multiple grains would disrupt fringe continuity.
nature10904_figure-1_crop3.png,HR-TEM,reasoning,medium,"In this 6 nm nanoparticle image, the absence of visible grain boundaries implies which growth mechanism during synthesis?",Monocrystalline nucleation and growth,"A single crystal particle forms by nucleation and growth of one crystal domain, whereas aggregation or sintering would produce grain boundaries visible as lattice discontinuities."
nature10904_figure-1_crop3.png,HR-TEM,reasoning,hard,"Assuming this 6 nm nanoparticle is a face-centered cubic (FCC) metal, which lattice plane is most likely observed given the fringe spacing and orientation?",(111) planes,"FCC metals commonly show (111) planes with the smallest interplanar spacing (~0.2 nm), matching the fringe spacing visible. Other planes have larger spacings or different fringe patterns."
nature10904_figure-1_crop3.png,HR-TEM,experimental_design,easy,Which imaging mode was most likely used to capture this nanoparticle image showing lattice fringes?,High-resolution transmission electron microscopy (HRTEM),"Lattice fringes are characteristic of HRTEM imaging, which resolves atomic planes. Bright-field and dark-field TEM do not typically show clear lattice fringes, and SEM does not resolve atomic planes."
nature10904_figure-1_crop3.png,HR-TEM,experimental_design,medium,The slight contrast variation and fringe clarity in this image suggest which of the following about the sample preparation?,The sample is thin enough for electron transparency,"Clear lattice fringes require a thin sample for electron transparency. Thick samples or contamination reduce fringe clarity, and tilting away from zone axis blurs fringes."
nature10904_figure-1_crop3.png,HR-TEM,experimental_design,hard,"If the image shows slight astigmatism causing fringe distortion, which experimental adjustment would best improve image quality?",Correcting the objective lens stigmators,"Astigmatism is corrected by adjusting objective lens stigmators. Increasing beam current or voltage does not fix astigmatism, and detector mode changes do not address lens aberrations."
nature11563_figure-1_crop1.png,STEM,visual_perception,easy,"In this STEM-HAADF image, what best describes the overall morphology of the surface shown?",Stepped and rough surface,"The image clearly shows a stepped, uneven surface with terraces and edges, ruling out smooth, spherical, or porous morphologies."
nature11563_figure-1_crop1.png,STEM,visual_perception,medium,"Considering the marked points P1 to P6 in this STEM-HAADF image, what can be inferred about the spatial distribution of these points relative to the surface features?",Points are located primarily on the upper terraces of the stepped surface,"The points P1 to P6 are visibly placed on the raised, stepped terraces rather than in valleys or on particles, indicating a deliberate selection on upper surface features."
nature11563_figure-1_crop1.png,STEM,visual_perception,hard,"Based solely on the contrast variations visible in this STEM-HAADF image, what can be deduced about the relative thickness or atomic number (Z) distribution across the surface?",Brighter regions correspond to thicker or higher-Z areas on the stepped surface,"In HAADF imaging, brighter contrast typically corresponds to regions of greater thickness or higher atomic number, consistent with the stepped morphology showing brighter terraces."
nature11563_figure-1_crop1.png,STEM,reasoning,easy,"Given that this is a STEM-HAADF image of a surface exhibiting a c(4×2) reconstruction, what does the stepped morphology suggest about the surface preparation?",The surface was prepared by controlled annealing to produce terraces,"Stepped terraces are characteristic of surfaces prepared by annealing to induce atomic rearrangement and surface reconstruction, unlike amorphous or polished surfaces."
nature11563_figure-1_crop1.png,STEM,reasoning,medium,"In this STEM-HAADF image of a surface with c(4×2) reconstruction, the points P1–P6 mark locations for EEL spectra. What is the likely purpose of selecting these points across the stepped surface?",To analyze compositional or electronic variations across different terrace levels,"EEL spectra taken at different terraces can reveal changes in composition or electronic structure related to surface reconstruction, not nanoparticle thickness or contamination."
nature11563_figure-1_crop1.png,STEM,reasoning,hard,"Considering the inset diffraction pattern shows extra reflections from a c(4×2) surface reconstruction, what inference can be made about the atomic arrangement at the surface regions imaged in this STEM-HAADF micrograph?",The surface atoms are arranged in a periodic reconstruction with a 4×2 unit cell relative to the bulk,The presence of extra diffraction spots corresponding to c(4×2) indicates a well-ordered surface reconstruction with a defined periodicity larger than the bulk lattice.
nature11563_figure-1_crop1.png,STEM,experimental_design,easy,What imaging mode was used to acquire this image showing atomic number contrast and surface morphology?,STEM-HAADF,"The image shows Z-contrast typical of STEM-HAADF imaging, not BF or DF TEM or optical microscopy."
nature11563_figure-1_crop1.png,STEM,experimental_design,medium,The inset diffraction pattern is intentionally overexposed to reveal weak surface reconstruction reflections. What is the likely effect of this overexposure on the diffraction pattern image?,Brighter main spots with enhanced visibility of weak superstructure spots,"Overexposure increases intensity of strong spots but also reveals weak superstructure reflections, improving their visibility without losing all spots."
nature11563_figure-1_crop1.png,STEM,experimental_design,hard,"In this STEM-HAADF image, what artifact might arise if the electron beam dwell time is too long on the stepped surface regions during EEL spectral acquisition?",Beam-induced surface damage causing morphological changes,"Prolonged electron beam exposure can cause damage or restructuring of sensitive surfaces, altering morphology and affecting data quality."
nature11652_figure-3_crop2.png,HR-TEM,visual_perception,easy,"In this HRTEM image of a nanowire grown at 600 °C, what is the predominant shape of the lattice fringes visible in the crystalline region?",Parallel lines,"The lattice fringes appear as parallel lines indicating a well-ordered crystal lattice. Random dots, circular rings, or irregular blobs do not match the observed periodic linear pattern."
nature11652_figure-3_crop2.png,HR-TEM,visual_perception,medium,"In this nanowire grown at 600 °C, what is the approximate scale of the lattice spacing visible in the crystalline region?",Around 0.3 nm,"The scale bar shows 5 nm, and the lattice fringes are spaced much closer than this, roughly one-tenth or less of the scale bar, consistent with atomic lattice spacings (~0.3 nm). Larger spacings like 3 nm or more are inconsistent with the visible lattice fringes."
nature11652_figure-3_crop2.png,HR-TEM,visual_perception,hard,"In this HRTEM image of a nanowire grown at 600 °C, what is the nature of the contrast difference observed at the left edge compared to the main crystalline region?",An amorphous or disordered surface layer,"The left edge shows diffuse, non-periodic contrast consistent with an amorphous or disordered layer. A second crystalline phase would show lattice fringes with different spacing. Contamination or void would have different contrast and morphology."
nature11652_figure-3_crop2.png,HR-TEM,reasoning,easy,"Given that this is a nanowire grown at 600 °C viewed along the 〈110〉 direction, what does the clear lattice fringe pattern indicate about the crystal quality?",High crystallinity with few defects,The well-defined lattice fringes indicate a highly crystalline structure. Amorphous or polycrystalline structures would show diffuse or multiple orientations of fringes.
nature11652_figure-3_crop2.png,HR-TEM,reasoning,medium,"In this nanowire grown at 600 °C, the lattice fringes are aligned and periodic. What does this suggest about the growth direction relative to the 〈110〉 viewing direction?",Growth is perpendicular to the 〈110〉 viewing direction,"The caption states the nanowires are viewed along 〈110〉 perpendicular to growth direction, consistent with the observed lattice fringe alignment."
nature11652_figure-3_crop2.png,HR-TEM,reasoning,hard,"Considering this is a nanowire grown at 600 °C with 50-nm Au agglomerates and 1 s growth time, what can be inferred about the effect of high temperature on the crystalline order compared to lower temperatures?",Higher temperature promotes better crystalline order as seen by clear lattice fringes,"The image shows clear lattice fringes indicating good crystallinity, consistent with higher temperature growth improving crystal quality."
nature11652_figure-3_crop2.png,HR-TEM,experimental_design,easy,What imaging mode is most likely used to capture this high-resolution lattice fringe image of the nanowire?,High-resolution transmission electron microscopy (HRTEM),"The visible atomic lattice fringes are characteristic of HRTEM imaging, not SEM or conventional BF/DF TEM."
nature11652_figure-3_crop2.png,HR-TEM,experimental_design,medium,The slight contrast variation and sharp lattice fringes suggest what about the sample preparation quality?,The sample is thin enough for electron transparency without significant damage,Clear lattice fringes and contrast indicate good sample thickness and minimal damage. Thick or contaminated samples would degrade image quality.
nature11652_figure-3_crop2.png,HR-TEM,experimental_design,hard,The diffuse contrast at the left edge of the nanowire in this HRTEM image is most likely caused by which experimental factor?,Surface amorphization or oxidation layer formed during growth or preparation,"The diffuse, non-crystalline contrast at the edge is consistent with an amorphous surface layer, not imaging artifacts like astigmatism or focus issues."
nature13617_figure-1_crop2.png,Diffraction,visual_perception,easy,"In this electron diffraction pattern from a Ta sample, what is the predominant feature visible?",Bright diffraction spots indicating crystalline order,"The image clearly shows sharp bright spots typical of crystalline diffraction, ruling out fully amorphous or uniform background patterns."
nature13617_figure-1_crop2.png,Diffraction,visual_perception,medium,"In this Ta electron diffraction pattern, what does the presence of both sharp spots and a diffuse halo ring suggest about the sample structure?",Coexistence of crystalline and amorphous (metallic glass) phases,"Sharp spots indicate crystalline regions, while the diffuse halo ring is characteristic of an amorphous phase, consistent with a metallic glass region coexisting with crystals."
nature13617_figure-1_crop2.png,Diffraction,visual_perception,hard,"Given this SAED pattern from a Ta sample with a monatomic metallic glass region, what crystallographic zone axis is most consistent with the observed spot symmetry?",〈110〉 zone axis,"The spot symmetry and arrangement correspond to the 〈110〉 crystallographic orientation of bcc Ta, as indicated by the pattern's characteristic spot positions and symmetry."
nature13617_figure-1_crop2.png,Diffraction,reasoning,easy,"In this Ta sample, the diffuse ring in the diffraction pattern indicates what about the atomic arrangement in that region?","Atoms lack long-range periodic order, indicating an amorphous metallic glass","Diffuse rings in diffraction patterns are signatures of amorphous structures lacking long-range order, consistent with metallic glass formation."
nature13617_figure-1_crop2.png,Diffraction,reasoning,medium,"Considering this Ta diffraction pattern with both crystalline spots and an amorphous halo, what does this imply about the sample's thermal history after the electric pulse?",Rapid cooling vitrified a molten region forming metallic glass between crystals,"The coexistence of crystalline spots and an amorphous halo indicates rapid quenching of a molten zone, vitrifying it into metallic glass surrounded by crystalline substrates."
nature13617_figure-1_crop2.png,Diffraction,reasoning,hard,"Given the SAED pattern from Ta showing a metallic glass region bounded by crystalline substrates, what can be inferred about the thickness and lateral size of the amorphous zone based on the diffraction features?",The amorphous region is approximately 20 nm long and 15 nm thick,"The caption states the vitrified region is about 20 nm by 15 nm, and the diffuse ring size and intensity in the SAED pattern support this nanoscale amorphous zone dimension."
nature13617_figure-1_crop2.png,Diffraction,experimental_design,easy,What imaging technique was used to obtain this diffraction pattern from the Ta sample?,Selected Area Electron Diffraction (SAED),"The image shows a diffraction pattern with spots and rings typical of SAED, not a real-space image or elemental map."
nature13617_figure-1_crop2.png,Diffraction,experimental_design,medium,The presence of sharp diffraction spots alongside a diffuse ring in this SAED pattern suggests what about the sample preparation or experimental conditions?,"The sample contains both crystalline and amorphous regions, well preserved during preparation","The coexistence of sharp spots and diffuse rings indicates distinct crystalline and amorphous phases preserved, not beam damage or contamination."
nature13617_figure-1_crop2.png,Diffraction,experimental_design,hard,"In this SAED pattern of Ta with a metallic glass region, what experimental factor most likely enabled the clear distinction between crystalline spots and the amorphous halo?","Use of a short, localized electron beam exposure to minimize beam damage and preserve phases","Short, localized electron beam exposure reduces beam damage and preserves the delicate amorphous and crystalline phases, allowing clear diffraction features."
nature13617_figure-2_crop0.png,CTEM,visual_perception,easy,"In this TEM image of a Ta nanowire, what is the approximate length of the central darker region labeled as Ta MG?",About 90 nm,"The scale bar indicates 20 nm, and the central darker region spans roughly 4.5 times that length, consistent with ~90 nm. 20 nm corresponds to the scale bar length, 60 nm is closer to the diameter, and 150 nm is too large."
nature13617_figure-2_crop0.png,CTEM,visual_perception,medium,What is the predominant morphology of the central Ta MG region in this TEM image?,A constricted nanowire with a narrow neck,"The image shows a nanowire shape with a clear constriction (narrow neck) in the middle. It is not spherical, flat, or cubic in morphology."
nature13617_figure-2_crop0.png,CTEM,visual_perception,hard,"Considering the contrast and shape in this TEM image, what can be inferred about the interface between the Ta MG region and the bcc Ta regions?","The interface is well-defined and curved, indicating a phase boundary","The yellow dotted curves clearly delineate the darker Ta MG region from the lighter bcc Ta regions, showing a sharp and curved boundary consistent with a phase interface. The contrast change is abrupt, not diffuse, and lattice fringes are not visible here."
nature13617_figure-2_crop0.png,CTEM,reasoning,easy,"Given that this is a Ta metallic glass (Ta MG) nanowire with bcc Ta crystalline regions at the edges, what does the darker contrast in the central region most likely represent?",Amorphous Ta MG phase,"Metallic glass phases typically appear as uniform, darker contrast due to lack of crystalline diffraction, while bcc Ta crystalline regions show lighter contrast here. Oxidation or voids would have different contrast or morphology."
nature13617_figure-2_crop0.png,CTEM,reasoning,medium,"In this Ta MG nanowire, the yellow dotted curves mark the boundaries between the Ta MG and bcc Ta regions. What does this suggest about the structural relationship between these regions?",The Ta MG is an amorphous phase confined between crystalline bcc Ta regions,"The distinct boundary and contrast difference indicate the central region is amorphous (metallic glass) confined between crystalline bcc Ta regions, not a crystalline orientation variant or void."
nature13617_figure-2_crop0.png,CTEM,reasoning,hard,"Considering the morphology and contrast in this TEM image of a Ta MG nanowire, what can be inferred about the mechanical stability of the narrow neck region?",The narrow neck of the Ta MG likely represents a mechanically weaker region prone to deformation,"The constricted shape in the amorphous Ta MG region suggests a mechanically weaker neck prone to deformation or failure. It is not crystalline reinforcement, nor an artifact or void given the clear phase boundaries."
nature13617_figure-2_crop0.png,CTEM,experimental_design,easy,What imaging mode is most consistent with the contrast and features seen in this TEM image of the Ta MG nanowire?,Bright-field TEM,"The image shows typical bright-field TEM contrast with darker amorphous region and lighter crystalline edges. Dark-field or HAADF STEM would show different contrast, and SEM would not show internal structure at this scale."
nature13617_figure-2_crop0.png,CTEM,experimental_design,medium,The yellow dotted curves outlining the Ta MG region are likely added during image analysis. What is the primary reason for delineating these boundaries in TEM images?,To highlight phase boundaries between amorphous and crystalline regions,"The dotted curves clearly mark phase boundaries between the Ta MG amorphous region and bcc Ta crystalline regions, aiding interpretation of morphology and structure."
nature13617_figure-2_crop0.png,CTEM,experimental_design,hard,"If this TEM image was acquired after prolonged electron beam exposure, what artifact would most likely affect the Ta MG region's appearance?",Increased contrast due to beam-induced crystallization,"Prolonged electron beam exposure can induce partial crystallization in metallic glasses, increasing contrast or showing lattice fringes. Complete disappearance or no change is unlikely, and void formation is more typical in crystalline regions but not exclusive."
nature14872_figure-1_crop2.png,Diffraction,visual_perception,easy,"In this HAADF-STEM image of a CdSe nanocrystal monolayer doped with Au nanocrystals, what is the predominant shape of the CdSe nanocrystals forming the lattice?",Hexagonal or near-hexagonal,"The lattice arrangement and shape of the CdSe nanocrystals appear hexagonal or near-hexagonal, as seen by the closely packed polygonal shapes forming a regular pattern. The particles are not spherical or rod-like, and the polygonal shapes are quite regular, ruling out irregular polygons."
nature14872_figure-1_crop2.png,Diffraction,visual_perception,medium,"In this HAADF-STEM image of a CdSe nanocrystal monolayer doped with Au nanocrystals, what best describes the spatial distribution of the Au nanocrystals relative to the CdSe lattice?",Randomly scattered on top of the CdSe lattice,"The brighter Au nanocrystals appear as small bright spots scattered irregularly over the darker CdSe lattice. They do not replace lattice sites uniformly, nor do they cluster separately or form chains."
nature14872_figure-1_crop2.png,Diffraction,visual_perception,hard,"Considering the HAADF-STEM image of a CdSe nanocrystal monolayer doped with Au nanocrystals, what can be inferred about the relative atomic number contrast between Au and CdSe nanocrystals?",Au nanocrystals appear brighter due to higher atomic number contrast,"In HAADF-STEM imaging, contrast is roughly proportional to atomic number squared (Z contrast). Au (Z=79) has a much higher atomic number than Cd (Z=48) and Se (Z=34), so Au nanocrystals appear brighter than CdSe nanocrystals, consistent with the image."
nature14872_figure-1_crop2.png,Diffraction,reasoning,easy,"Given that this is a CdSe nanocrystal monolayer doped with Au nanocrystals, what does the regular pattern of the dark spots suggest about the CdSe nanocrystals?",They form an ordered superlattice,"The dark spots are arranged in a regular, repeating pattern indicating an ordered superlattice rather than random or amorphous distribution."
nature14872_figure-1_crop2.png,Diffraction,reasoning,medium,"In this CdSe nanocrystal monolayer doped with Au nanocrystals, what does the presence of smaller bright spots indicate about the doping mechanism?",Au nanocrystals are incorporated as discrete dopants on the surface,"The smaller bright spots correspond to discrete Au nanocrystals scattered on the CdSe lattice, indicating surface doping rather than substitution or alloying."
